Booking No,Agent,Country,Tour Type,Booking Date,Amount,Status
BK003835,Expedia,Canada,Leisure,2026-07-16,1477,Confirmed
BK003836,Cox & Kings,USA,Leisure,,2243,Cancelled
BK003837,Trailfinders,France,Business,2026-12-26,4803,Completed
BK003838,Cox & Kings,Italy,Leisure,2026-12-24,N/A,Completed
BK003839,Thomas Cook,Italy,Family,2026-12-06,4995,Pending
BK003840,Cox & Kings,Italy,Leisure,2026-07-14,4546,Completed
BK003841,Kuoni,Italy,Business,2026-07-10,1892,Pending
BK003842,Expedia,Italy,Family,2026-12-02,$500,Completed
BK003843,MakeMyTrip,Italy,Honeymoon,2026-04-12,2530,Cancelled
BK003844,Kuoni,Canada,Family,2026-11-19,1410,Completed
BK003845,MakeMyTrip,Japan,Family,2026-06-03,4340,Pending
BK003846,TUI,Australia,Family,2026-07-06,-68,Completed
BK003847,Thomas Cook,USA,Adventure,2026-11-30,3446,Cancelled
BK003848,Thomas Cook,Italy,Adventure,2026-08-09,4991,Pending
BK003849,TUI,Spain,Leisure,2026-06-06,2714,Confirmed
BK003850,TUI,UAE,Adventure,2026-09-30,null,Completed
BK003851,TUI,Germany,Family,Jan 15 2026,2396,Cancelled
BK003852,MakeMyTrip,UAE,Leisure,2026-12-23,3929,Completed
BK003853,Cox & Kings,France,Wildlife,2026-10-30,-2650,Pending
BK003854,Kuoni,Germany,Adventure,2026-10-15,334,Confirmed
BK001570,Kuoni,Canada,Business,2026-02-26,3002,Confirmed
BK003856,TUI,Italy,Business,2026-02-30,1615,Confirmed
BK003857,MakeMyTrip,UK,Adventure,2026-08-26,-2850,Pending
BK003858,MakeMyTrip,USA,Wildlife,2026-09-09,2808,Cancelled
BK003859,Expedia,UK,,2026-05-03,2988,Confirmed
BK003860,Booking.com,Japan,Business,2026-04-05,3874,Pending
BK003861,Trailfinders,Japan,Adventure,2026.01.15,2917,Confirmed
BK003862,Kuoni,Australia,,2026-09-28,1676,Pending
BK003863,Expedia,Italy,Cultural,2026-08-09,-2444,Confirmed
BK003864,Expedia,UK,Family,2026-12-07,-1514,Pending
BK003865,MakeMyTrip,Australia,Cultural,2026-01-17,null,Cancelled
BK003866,Expedia,Japan,Family,2026-02-30,2127,Completed
BK001734,Booking.com,UK,Cultural,2026-06-12,3996,Pending
BK003868,Booking.com,Japan,Business,2026-02-21,1523,Completed
BK003869,Thomas Cook,,Leisure,2026-09-19,3721,Completed
BK003870,TUI,,Honeymoon,2026-04-30,786,Completed
BK003871,MakeMyTrip,UAE,Honeymoon,2026-06-22,704,
BK003872,TUI,Italy,Business,2026-01-17,2802,Cancelled
BK003873,Booking.com,Japan,Family,2026-04-27,918,Cancelled
BK003874,MakeMyTrip,Italy,Wildlife,2026-04-28,4450,Confirmed
BK003875,Kuoni,UK,Cultural,2026-05-30,,Confirmed
BK003876,MakeMyTrip,Japan,Business,2026-07-07,NaN,Cancelled
BK003877,MakeMyTrip,UK,Adventure,31-31-2026,1185,Completed
BK003878,Cox & Kings,Japan,Family,2026-04-05,623,Confirmed
BK003879,Thomas Cook,UAE,Leisure,2026-05-27,2219,Cancelled
BK003880,MakeMyTrip,Italy,Adventure,2026-08-12,3151,Cancelled
BK003881,Expedia,Germany,Cultural,2026-12-01,1384,Completed
BK003882,Expedia,Spain,Leisure,2026-07-28,1304,Confirmed
BK003883,Cox & Kings,UAE,Adventure,2026-07-19,2883,Confirmed
BK003884,MakeMyTrip,France,Honeymoon,2026-02-27,3600,Cancelled
BK003885,Expedia,Germany,Cultural,2026-09-15,4107,Cancelled
BK003886,Booking.com,France,Leisure,2026-10-31,4605,Cancelled
BK003187,Expedia,Spain,Family,2026-04-22,3872,Completed
BK003888,TUI,Spain,Adventure,2026-10-17,4309,Completed
BK003889,Cox & Kings,Italy,Business,2026-11-01,763,Pending
BK003890,TUI,Italy,Business,2026-06-12,518,Confirmed
BK003891,Booking.com,Germany,Adventure,2026-11-27,3190,Cancelled
BK003892,TUI,USA,Cultural,2026-06-08,2936,Confirmed
BK003893,Kuoni,Canada,Family,00/00/0000,3348,Confirmed
BK003894,TUI,Italy,Leisure,2026-11-06,1785,Pending
BK000984,Cox & Kings,Spain,Business,2026-11-17,663,Cancelled
BK003896,Expedia,Germany,Leisure,2026-05-05,4601,Cancelled
BK001002,Expedia,Germany,Wildlife,2026-06-10,920,Cancelled
BK003898,TUI,UK,Honeymoon,2026-06-08,-61,Cancelled
BK003899,Booking.com,Spain,Wildlife,2026-05-01,,Confirmed
BK003900,Expedia,Japan,Honeymoon,2026-03-04,3467,Cancelled
BK001006,TUI,USA,Honeymoon,2026-10-17,804,Completed
BK003902,TUI,Australia,Cultural,2026-09-19,4953,Pending
BK003903,Trailfinders,Australia,Adventure,2026-01-24,450,Confirmed
BK003904,Expedia,Italy,Cultural,2026-02-21,abc,Completed
BK003255,Trailfinders,USA,Business,2026-10-15,3091,Confirmed
BK003906,Kuoni,UK,Adventure,2026-04-21,3858,Confirmed
BK003907,Expedia,UK,Wildlife,2026-10-27,759,Pending
BK003908,Thomas Cook,Spain,Business,2026-07-06,3543,Completed
BK003909,Trailfinders,Spain,Business,yesterday,1041,Cancelled
BK003073,Expedia,USA,Family,2026-08-17,1052,Completed
BK003911,Trailfinders,USA,Honeymoon,32/01/2026,3383,Confirmed
BK003912,Trailfinders,Australia,Honeymoon,2026-04-23,306,Pending
BK003913,MakeMyTrip,Australia,Leisure,2026-04-11,"1,000",Completed
BK003914,TUI,France,Cultural,2026-03-13,1881,Pending
BK003915,Expedia,Italy,Business,2026-07-20,3223,Cancelled
BK003916,MakeMyTrip,USA,Leisure,2026-06-01,1004,Confirmed
BK003917,Trailfinders,UK,Cultural,2026-06-02,1526,Confirmed
BK003918,Thomas Cook,Canada,Adventure,2026-02-27,  ,Completed
BK003919,Trailfinders,Italy,Family,2026-01-14,2150,Completed
BK003920,Trailfinders,UAE,Honeymoon,2026-09-05,----,Cancelled
BK003921,MakeMyTrip,Germany,Leisure,2026-05-23,4534,Cancelled
BK003922,MakeMyTrip,Japan,Cultural,2026-04-27,745,Pending
BK003923,Booking.com,France,Wildlife,2026-12-28,4964,Confirmed
BK003924,Booking.com,Australia,Leisure,2026-07-16,2801,Cancelled
BK003925,TUI,Italy,Leisure,2026-07-13,-385,Confirmed
BK003926,Booking.com,France,Honeymoon,2026-03-22,2400,Completed
BK003927,MakeMyTrip,Germany,Leisure,2026.01.15,1035,Completed
BK003928,Trailfinders,Germany,Wildlife,2026-09-03,2841,Completed
BK003929,Thomas Cook,UAE,Family,2026-05-26,4864,Completed
BK003930,TUI,Spain,Adventure,2026-03-11,972,Completed
BK003931,Thomas Cook,Canada,Wildlife,31-31-2026,2850,Completed
BK003932,Expedia,Canada,Honeymoon,2026-10-01,935,Confirmed
BK003529,Cox & Kings,USA,Cultural,2026-12-17,2667,Completed
BK003934,Trailfinders,USA,Wildlife,2026-02-18,-1551,Completed
BK003935,Cox & Kings,France,Cultural,2026-08-01,946,Completed
BK003936,Trailfinders,USA,Family,2026-10-15,4254,Confirmed
BK003937,MakeMyTrip,Canada,Wildlife,,4933,Confirmed
BK003938,Booking.com,Germany,Leisure,2026-04-17,206,Completed
BK003939,Cox & Kings,Spain,Adventure,,1506,Confirmed
BK003940,MakeMyTrip,Japan,Leisure,2026-05-04,-2564,Completed
BK003941,Kuoni,Italy,Honeymoon,2026-01-19,471,Pending
BK003942,TUI,USA,Family,2026-12-11,1438,Pending
BK003943,Kuoni,Canada,Wildlife,2026-06-20,4224,Cancelled
BK003944,Trailfinders,USA,Cultural,2026-11-03,,Confirmed
BK003945,Thomas Cook,USA,Honeymoon,2026-11-20,1362,Cancelled
BK003946,Kuoni,UK,Family,2026-05-20,671,Cancelled
BK003947,Expedia,Italy,Wildlife,2026-09-10,N/A,Cancelled
BK003948,Booking.com,USA,Family,2026-01-20,1095,Completed
BK003949,Thomas Cook,Spain,Business,2026-02-20,-1353,Pending
BK003950,Kuoni,Japan,Adventure,2026-01-27,-1976,Confirmed
BK003951,Kuoni,UAE,Leisure,2026-11-30,4909,Completed
BK003952,Thomas Cook,Spain,Wildlife,2026-10-24,4510,Completed
BK003953,Thomas Cook,Germany,Honeymoon,yesterday,1540,Confirmed
BK003954,MakeMyTrip,Spain,Cultural,2026-02-17,3528,Completed
BK003955,Expedia,USA,Adventure,2026-11-15,3954,Cancelled
BK003956,Cox & Kings,Germany,Family,2026-12-21,1214,Confirmed
BK000544,MakeMyTrip,Italy,Leisure,2026-12-28,1576,Pending
BK003958,Booking.com,Italy,Leisure,2026-12-19,4402,Cancelled
BK003959,TUI,Japan,Cultural,2026-05-06,1614,Cancelled
BK001189,Thomas Cook,Germany,Leisure,2026-10-06,918,Pending
BK003961,Thomas Cook,Canada,Wildlife,2026-05-19,-694,Confirmed
BK003962,MakeMyTrip,Spain,Leisure,2026-12-24,2620,Completed
BK000719,Expedia,UK,Cultural,2026-09-21,3588,Confirmed
BK000320,Thomas Cook,Germany,Honeymoon,2026-10-22,2434,Confirmed
BK003965,MakeMyTrip,UAE,Honeymoon,2026-11-14,632,Cancelled
BK003436,Kuoni,Italy,Wildlife,2026-11-22,1199,Pending
BK003967,Expedia,UAE,Leisure,2026-09-18,N/A,Completed
BK003968,Expedia,Germany,Cultural,2026-04-13,2707,Completed
BK003969,Thomas Cook,France,Cultural,2026-10-23,abc,Cancelled
BK003970,Booking.com,USA,Family,2026-07-15,3226,Completed
BK003971,Trailfinders,UAE,Adventure,2026-03-27,4768,Pending
BK003972,Trailfinders,UK,Honeymoon,2026-05-09,-2610,Confirmed
BK003973,MakeMyTrip,UAE,Cultural,2026-01-09,1988,Pending
BK003974,Booking.com,Italy,Leisure,N/A,3578,Cancelled
BK003975,Thomas Cook,Japan,Adventure,2026-04-14,2556,Cancelled
BK003976,Thomas Cook,USA,Family,2026-07-09,939,Completed
BK000720,Thomas Cook,Germany,Honeymoon,2026-08-11,3065,Pending
BK003978,Booking.com,Japan,Honeymoon,2026-03-10,-1457,Pending
BK003979,Thomas Cook,,Business,2026-01-12,4831,Pending
BK003980,Kuoni,UAE,Business,2026-09-03,167,Cancelled
BK003981,Trailfinders,Italy,Business,2026-04-18,2743,Confirmed
BK003982,Cox & Kings,Japan,Business,2026-01-23,2218,Completed
BK003983,MakeMyTrip,Germany,Leisure,2026-02-30,4922,Pending
BK003984,Cox & Kings,USA,Business,N/A,3392,Completed
BK003985,Trailfinders,Australia,Honeymoon,2026-10-03,4846,Pending
BK002394,Trailfinders,UK,Family,2026-12-25,282,Completed
BK003987,Thomas Cook,,Family,2026-02-12,761,Confirmed
BK003988,Thomas Cook,Australia,Leisure,2026-06-22,3312,Completed
BK003989,Trailfinders,Japan,Cultural,2026-06-16,100,Pending
BK003990,Trailfinders,Germany,Cultural,2026-02-19,3248,
BK003991,Booking.com,USA,Business,2026-12-22,-2551,Pending
BK003992,Trailfinders,UAE,Honeymoon,2026-06-17,252,Pending
BK003993,TUI,Spain,Wildlife,2026-07-29,null,Cancelled
BK003994,TUI,France,Wildlife,2026-12-31,NaN,Cancelled
BK000510,Cox & Kings,Canada,Honeymoon,2026-03-27,2812,Completed
BK003996,TUI,France,Business,2026-01-29,null,Pending
BK002578,Booking.com,Japan,Wildlife,2026-06-04,4312,Confirmed
BK003108,MakeMyTrip,Canada,Cultural,2026-05-28,4793,Cancelled
BK003999,TUI,Japan,Adventure,2026-06-15,4295,Pending
BK004000,Expedia,Germany,Wildlife,2026-02-10,-2299,Completed
BK004001,Kuoni,UK,Wildlife,2026-11-09,1807,Confirmed
BK004002,Kuoni,France,Wildlife,2026-12-29,4111,Completed
BK004003,Trailfinders,Australia,Leisure,2026-04-21,----,Pending
BK004004,MakeMyTrip,Japan,Adventure,00/00/0000,2590,Pending
BK004005,Thomas Cook,Japan,Honeymoon,2026-11-03,3192,Cancelled
BK004006,Expedia,France,Adventure,2026-04-24,-2833,Completed
BK001235,Cox & Kings,Germany,Family,2026-04-23,1116,Completed
BK004008,Kuoni,Australia,Family,2026-08-08,-606,Completed
BK003333,Trailfinders,Australia,Honeymoon,2026-06-10,437,Completed
BK004010,Cox & Kings,Spain,Honeymoon,2026-05-20,2449,Cancelled
BK004011,Kuoni,France,Honeymoon,2026-07-01,1658,Completed
BK004012,Thomas Cook,Germany,Wildlife,2026-05-03,4001,Completed
BK003926,Cox & Kings,Italy,Leisure,2026-05-16,1331,Confirmed
BK004014,Trailfinders,Australia,Business,2026-02-11,2624,Completed
BK004015,Thomas Cook,UK,Leisure,2026-06-12,  ,Cancelled
BK004016,TUI,Germany,Cultural,2026-01-24,4777,
BK004017,Trailfinders,,Family,2026-07-02,4247,Cancelled
BK004018,Thomas Cook,Spain,Adventure,2026-09-26,2832,Completed
BK004019,Kuoni,France,Adventure,2026-12-13,----,Completed
BK004020,TUI,Germany,Business,2026-08-27,336,Confirmed
BK004021,,Italy,Honeymoon,2026-12-07,3062,Completed
BK004022,Trailfinders,Spain,Leisure,2026-02-14,4586,
BK004023,MakeMyTrip,Australia,Wildlife,2026-05-22,3391,Completed
BK004024,Thomas Cook,Australia,Family,2026-08-06,,Completed
BK004025,TUI,Italy,Cultural,2026-08-25,4880,Completed
BK002917,Trailfinders,Canada,Adventure,2026-12-29,229,Pending
BK004027,Trailfinders,Spain,Honeymoon,N/A,3171,Confirmed
BK004028,Expedia,Italy,Cultural,2026-03-26,2006,Cancelled
BK004029,Booking.com,UAE,,2026-04-06,4166,Completed
BK004030,Kuoni,Italy,Wildlife,2026-09-04,2082,Completed
BK004031,Booking.com,UK,Business,00/00/0000,3004,Confirmed
BK004032,Trailfinders,Japan,Leisure,2026-06-07,4069,Pending
BK001413,MakeMyTrip,USA,Honeymoon,2026-10-30,839,Pending
BK004034,Kuoni,France,Business,2026-08-22,2551,Pending
BK004035,TUI,USA,Business,2026-11-07,2250,Pending
BK004036,Booking.com,USA,Wildlife,0000-00-00,4039,Cancelled
BK004037,Expedia,Canada,Cultural,2026-12-16,"1,000",Completed
BK004038,Cox & Kings,Australia,Business,2026-02-18,1769,Confirmed
BK004039,Kuoni,UK,Honeymoon,2026-12-12,1639,Confirmed
BK004040,Kuoni,USA,Business,31-31-2026,2707,Confirmed
BK004041,Kuoni,France,Cultural,2026-03-02,-1457,Pending
BK004042,TUI,UAE,Honeymoon,2026-06-05,722,Cancelled
BK004043,Trailfinders,Spain,Business,2026-09-23,1006,Completed
BK001275,Booking.com,USA,Honeymoon,2026-04-16,895,Cancelled
BK004045,Expedia,Canada,Cultural,2026-01-22,554,Cancelled
BK004046,Expedia,Italy,Wildlife,2026-07-17,1648,Pending
BK004047,Booking.com,Italy,Adventure,2026.01.15,3130,Completed
BK004048,TUI,UAE,Cultural,2026-02-22,1520,Confirmed
BK004049,Booking.com,Australia,Adventure,2026-06-01,842,Confirmed
BK004050,Trailfinders,UK,Adventure,2026-05-08,-2676,Pending
BK004051,MakeMyTrip,Germany,Leisure,2026-06-14,  ,Confirmed
BK004052,Thomas Cook,Italy,Leisure,2026-08-19,3712,
BK004053,TUI,UAE,Cultural,2026-07-28,3053,Pending
BK004054,Kuoni,Spain,Family,2026-07-28,3640,Cancelled
BK004055,Thomas Cook,Spain,Business,2026-03-03,4674,Cancelled
BK004056,Expedia,France,Family,2026-11-11,4998,Pending
BK004057,TUI,Japan,Business,2026-12-17,abc,Confirmed
BK000242,Expedia,Japan,Cultural,2026-07-14,864,Confirmed
BK004059,Booking.com,France,Cultural,2026-05-09,1197,Confirmed
BK002815,Booking.com,Japan,Wildlife,2026-09-15,1131,Cancelled
BK004061,Cox & Kings,Spain,Cultural,2026-07-25,,Completed
BK004062,Trailfinders,France,Leisure,2026-09-28,1685,Pending
BK004063,Expedia,Germany,Leisure,2026-06-26,4758,Cancelled
BK004064,Kuoni,Australia,Adventure,2026-13-45,4615,Completed
BK004065,Booking.com,France,Leisure,2026-01-24,3895,Pending
BK004066,Cox & Kings,France,Business,2026-04-08,4658,Completed
BK004067,Booking.com,UAE,Business,2026-02-15,2518,Pending
BK004068,TUI,Spain,Cultural,13/13/13,288,Cancelled
BK004069,Trailfinders,Germany,Wildlife,2026-07-14,459,Pending
BK004070,Booking.com,France,Business,2026-01-07,3528,Pending
BK004071,Cox & Kings,Italy,Family,2026-07-24,2894,Confirmed
BK004072,TUI,Italy,Wildlife,2026-02-12,4217,Pending
BK000886,Thomas Cook,USA,Leisure,2026-02-18,3286,Pending
BK004074,Trailfinders,France,Adventure,2026-09-21,4678,Completed
BK004075,Cox & Kings,Japan,Business,2026-08-06,2046,Confirmed
BK004076,TUI,Japan,Cultural,2026-03-07,-411,Confirmed
BK004077,MakeMyTrip,Canada,Family,2026-01-05,2389,Completed
BK004078,Thomas Cook,Australia,Leisure,2026-10-23,226,Cancelled
BK004079,MakeMyTrip,Spain,Leisure,2026-05-12,4368,Pending
BK004080,Booking.com,UAE,Business,2026-06-07,701,Confirmed
BK004081,TUI,Spain,Adventure,2026-06-07,-2347,Cancelled
BK004082,Kuoni,UK,Cultural,2026-07-29,-2669,Cancelled
BK004083,,USA,Adventure,2026-12-03,3326,Completed
BK004084,Thomas Cook,Canada,Wildlife,2026-09-22,3409,Completed
BK004085,Kuoni,Japan,Cultural,2026-12-05,1322,Cancelled
BK004086,Booking.com,France,Honeymoon,2026-03-26,N/A,Confirmed
BK004087,Booking.com,USA,Business,2026-04-18,441,Completed
BK004088,Kuoni,Japan,Honeymoon,2026-06-02,3560,Completed
BK004089,Cox & Kings,Canada,Leisure,2026-11-09,3370,Pending
BK004090,MakeMyTrip,Australia,Business,2026-05-24,null,Pending
BK004091,Expedia,USA,Business,2026-11-22,null,Confirmed
BK004092,Kuoni,Spain,Honeymoon,2026-11-18,"1,000",Completed
BK004093,Cox & Kings,Italy,Leisure,2026-12-18,627,Pending
BK004094,Trailfinders,France,Family,2026-08-16,2747,Confirmed
BK004095,Expedia,UAE,Honeymoon,2026-09-10,3576,Pending
BK004096,Thomas Cook,UAE,Family,2026-07-02,$500,Confirmed
BK004097,Trailfinders,Italy,Leisure,2026-11-10,3403,Completed
BK004098,Trailfinders,USA,Cultural,2026-01-05,508,Cancelled
BK004099,Booking.com,Germany,Wildlife,2026-02-26,abc,Cancelled
BK004100,Kuoni,UAE,,2026-11-30,1371,Cancelled
BK004101,Thomas Cook,Canada,Wildlife,yesterday,2601,Cancelled
BK000404,TUI,UAE,Cultural,2026-09-24,2181,Completed
BK004103,TUI,Italy,Leisure,2026-04-15,1710,Pending
BK004104,Expedia,Spain,Wildlife,2026-04-23,3693,Cancelled
BK004105,Trailfinders,Japan,Cultural,2026-09-06,$500,Pending
BK004106,Trailfinders,Germany,Business,2026-05-06,-1659,Cancelled
BK004107,Trailfinders,Australia,Wildlife,,3400,Cancelled
BK004108,Kuoni,USA,Family,notadate,2548,Confirmed
BK004109,Booking.com,Canada,Wildlife,2026-06-28,3448,Completed
BK004110,Booking.com,Canada,Business,2026-01-22,1498,Confirmed
BK004111,Kuoni,Spain,Cultural,2026-11-29,1881,Cancelled
BK004112,Cox & Kings,Australia,Business,2026-06-13,4597,Cancelled
BK004113,Booking.com,Japan,Adventure,2026-08-02,,Cancelled
BK004114,Cox & Kings,Canada,Business,2026-05-28,null,Confirmed
BK004115,TUI,Australia,Wildlife,2026-06-25,773,Confirmed
BK004116,Expedia,Australia,Family,2026-07-11,3133,Confirmed
BK004117,Thomas Cook,Italy,Leisure,00/00/0000,1453,Pending
BK004118,Trailfinders,Italy,Honeymoon,2026-10-05,1556,Cancelled
BK004119,Kuoni,UAE,Family,2026-05-20,3704,Completed
BK002963,Trailfinders,Spain,Honeymoon,2026-01-19,4043,Confirmed
BK004121,Thomas Cook,USA,Cultural,2026-06-06,NaN,Completed
BK001154,Cox & Kings,UK,Business,2026-07-30,4717,Cancelled
BK004123,Thomas Cook,UAE,Wildlife,2026-01-28,4088,Completed
BK004124,MakeMyTrip,Italy,Wildlife,2026-02-27,2932,Cancelled
BK004125,Cox & Kings,Australia,Leisure,2026-01-27,N/A,Confirmed
BK004126,Thomas Cook,Australia,Family,2026-04-28,2457,Pending
BK004127,Expedia,Italy,Cultural,2026-10-02,-758,Cancelled
BK004128,Kuoni,Australia,Honeymoon,2026-06-22,N/A,Pending
BK004129,Thomas Cook,Australia,Business,2026-02-18,-2707,Pending
BK004130,MakeMyTrip,UAE,Cultural,2026-06-10,,Cancelled
BK004131,Kuoni,Spain,Honeymoon,2026-01-10,4868,Pending
BK004132,Thomas Cook,Australia,Business,2026-09-14,900,Completed
BK003364,Booking.com,Canada,Wildlife,2026-05-15,1063,Cancelled
BK004134,MakeMyTrip,Italy,Family,yesterday,2562,Confirmed
BK004135,Trailfinders,UAE,Family,2026.01.15,886,Pending
BK004136,Cox & Kings,USA,Business,2026-03-05,4654,Pending
BK004137,Kuoni,Germany,Honeymoon,2026-12-31,1875,Completed
BK004138,Kuoni,Japan,Leisure,2026-03-04,3880,Confirmed
BK004139,Trailfinders,UK,Leisure,,3869,Pending
BK004140,TUI,UK,Family,2026-01-19,3239,Completed
BK004141,Thomas Cook,UAE,Leisure,2026-09-08,4548,Completed
BK004142,Booking.com,Canada,Business,2026-06-10,901,Completed
BK004143,Booking.com,UK,Cultural,2026-07-06,4837,Cancelled
BK004144,Trailfinders,Australia,Family,2026-12-13,2147,Pending
BK004145,Trailfinders,Australia,Adventure,2026-07-08,3016,Completed
BK004146,TUI,Australia,,2026-03-10,4474,Cancelled
BK004147,MakeMyTrip,USA,Wildlife,2026-06-26,972,Cancelled
BK004148,Expedia,Italy,Adventure,2026-01-25,3934,Pending
BK004149,Thomas Cook,UAE,Adventure,31-31-2026,3419,Cancelled
BK001606,Trailfinders,Australia,Wildlife,2026-02-02,2295,Confirmed
BK004151,TUI,Germany,Family,2026-12-11,1970,Pending
BK004152,Trailfinders,Spain,Honeymoon,2026-03-20,3293,Confirmed
BK004153,Kuoni,France,Cultural,2026-08-01,2043,Completed
BK004154,Thomas Cook,UK,Adventure,2026-09-17,4385,Completed
BK001362,Expedia,UK,Wildlife,2026-03-06,1152,Cancelled
BK004156,,Spain,Wildlife,2026-03-23,3193,Confirmed
BK004157,Booking.com,Spain,Wildlife,2026-11-13,2607,Completed
BK004158,Kuoni,Australia,Business,2026-11-19,2335,Completed
BK004159,MakeMyTrip,France,Business,2026-12-18,2697,Pending
BK004160,Expedia,UK,Honeymoon,2026-02-19,-399,Pending
BK004161,Cox & Kings,USA,Honeymoon,2026-01-10,-287,Cancelled
BK004162,Expedia,UAE,Adventure,2026-08-16,-458,Pending
BK004163,Thomas Cook,Australia,Leisure,2026-05-14,3229,Cancelled
BK004164,Expedia,Italy,Cultural,00/00/0000,2097,Cancelled
BK004165,TUI,UK,Leisure,2026-04-05,NaN,Cancelled
BK004166,Trailfinders,Germany,Adventure,2026-01-01,-1667,Completed
BK004167,Cox & Kings,Australia,Leisure,2026-10-21,186,Completed
BK004168,Cox & Kings,Japan,Leisure,2026-10-06,2043,Completed
BK004169,Kuoni,Germany,Family,2026-08-04,----,Confirmed
BK004170,Expedia,Australia,Adventure,N/A,2409,Completed
BK004171,,UK,Honeymoon,2026-07-19,4804,Cancelled
BK004172,Booking.com,Japan,Wildlife,2026-06-02,-1101,Completed
BK004173,Cox & Kings,Italy,Leisure,2026-10-29,782,Completed
BK004174,MakeMyTrip,UAE,Cultural,2026-01-11,,Pending
BK004175,Cox & Kings,Germany,Adventure,2026-06-02,1170,
BK004176,Cox & Kings,Germany,Leisure,2026-10-10,666,Pending
BK004177,Expedia,USA,Family,2026-10-06,1264,Completed
BK002021,TUI,Australia,Business,2026-03-31,1065,Pending
BK004179,MakeMyTrip,Japan,Cultural,,2892,Cancelled
BK004180,Booking.com,France,Leisure,2026-08-05,4780,Confirmed
BK004181,Cox & Kings,Spain,Wildlife,2026-05-22,4313,Confirmed
BK004182,MakeMyTrip,USA,Wildlife,Jan 15 2026,4566,Cancelled
BK004183,Thomas Cook,USA,Cultural,2026-11-15,777,Confirmed
BK002552,Cox & Kings,USA,Wildlife,2026-06-17,791,Completed
BK004185,Thomas Cook,Japan,Honeymoon,2026-04-22,abc,Confirmed
BK004186,Expedia,Italy,Leisure,2026-02-15,1333,Cancelled
BK004187,Kuoni,Spain,Honeymoon,,4875,Completed
BK004188,MakeMyTrip,Spain,Wildlife,2026-11-05,3817,Confirmed
BK004189,Cox & Kings,UK,Wildlife,2026-09-06,319,Cancelled
BK004190,,Canada,Family,2026-01-30,4795,Pending
BK004191,Trailfinders,Germany,Business,N/A,3312,Pending
BK004192,Kuoni,USA,Adventure,2026-08-18,3255,Pending
BK004193,Cox & Kings,Japan,Family,2026-13-45,3668,Confirmed
BK001911,MakeMyTrip,Italy,Business,2026-12-02,4909,Completed
BK004195,Cox & Kings,USA,Leisure,2026-04-27,1949,Cancelled
BK004196,Trailfinders,Australia,Business,2026-09-13,-526,Pending
BK004197,Thomas Cook,Canada,Business,2026-10-01,453,Pending
BK004198,Cox & Kings,USA,Wildlife,2026-03-01,4535,Confirmed
BK004199,Trailfinders,Germany,Wildlife,2026-06-24,2471,Cancelled
BK004200,Cox & Kings,UAE,Wildlife,2026-10-26,3048,Pending
BK004201,Trailfinders,UK,Leisure,2026-02-25,519,Completed
BK004202,Cox & Kings,Japan,Business,2026-08-19,3065,Pending
BK004203,Kuoni,Japan,Business,2026-08-25,1327,Completed
BK004204,Trailfinders,UAE,Adventure,2026-02-30,4252,Pending
BK004205,TUI,USA,Honeymoon,2026-01-06,4257,Pending
BK004206,Trailfinders,Canada,Wildlife,2026-06-28,3514,Confirmed
BK004207,Trailfinders,UAE,Cultural,2026-11-02,1590,Completed
BK004208,Booking.com,Japan,Wildlife,2026-10-08,,Confirmed
BK004209,Cox & Kings,Australia,Family,2026-08-13,4983,Pending
BK001826,MakeMyTrip,UAE,Honeymoon,2026-07-28,1282,Completed
BK004211,Booking.com,Australia,Leisure,2026-12-10,799,Confirmed
BK004212,MakeMyTrip,Spain,Leisure,2026-03-08,4637,Completed
BK004213,TUI,Japan,Honeymoon,00/00/0000,1475,Pending
BK004214,MakeMyTrip,USA,Leisure,2026-02-30,1866,Cancelled
BK004215,TUI,Japan,Wildlife,2026-12-29,-2368,Completed
BK004216,Thomas Cook,USA,Cultural,2026-01-02,3367,Pending
BK004217,MakeMyTrip,Spain,Family,2026-10-03,3309,Pending
BK004218,Thomas Cook,UK,Adventure,2026-09-16,2915,Cancelled
BK004219,TUI,Germany,Wildlife,2026-07-15,2270,Pending
BK004220,Kuoni,Italy,Honeymoon,2026-09-03,2890,Cancelled
BK004221,TUI,Italy,Adventure,32/01/2026,2967,Pending
BK004222,TUI,Spain,Adventure,2026-08-16,3460,Pending
BK004223,Kuoni,Spain,Wildlife,2026-01-16,4029,Completed
BK004224,Cox & Kings,Canada,Family,2026-01-15,1578,Confirmed
BK004225,Booking.com,France,Leisure,2026-05-08,-190,Completed
BK004226,Expedia,UAE,Cultural,2026-06-16,4689,Completed
BK004227,MakeMyTrip,UAE,Wildlife,2026-10-23,1179,Completed
BK004228,Cox & Kings,France,Honeymoon,2026-09-12,1762,Confirmed
BK004229,Booking.com,Italy,Honeymoon,2026-07-05,-2410,Cancelled
BK004230,Cox & Kings,UAE,Family,2026-06-08,2561,Confirmed
BK003859,MakeMyTrip,USA,Wildlife,2026-04-04,4539,Confirmed
BK004232,Kuoni,UK,,2026-01-22,1564,Completed
BK004233,Expedia,France,Leisure,2026-03-17,N/A,Confirmed
BK004234,Cox & Kings,Spain,Business,2026-07-07,2324,Confirmed
BK002205,Cox & Kings,UAE,Adventure,2026-12-04,658,Confirmed
BK002913,Booking.com,Australia,Business,2026-11-29,246,Confirmed
BK004237,Cox & Kings,Italy,Business,0000-00-00,516,Cancelled
